Selection	en
navbar.blckbook	BLCKBOOK
navbar.auction	AUCTION
navbar.gallery	GALLERY
navbar.admin	ADMIN
navbar.sign-in	SIGN IN
navbar.sign-up	SIGN UP
navbar.wallet	WALLET
navbar.logout	LOGOUT
home.welcome	WELCOME,
upload.header	SUBMIT YOUR TAG
upload.longitude	LONGITUDE
upload.latitude	LATITUDE
upload.name	PROPOSED NAME (OPTIONAL)
upload.submit	Submit
upload.delete	Delete
wallet.header	Wallet Options
wallet.no-wallet	You currently don't have a wallet connected\n In order to upload images and vote you need to connect a wallet first.
wallet.current	Your current wallet has the id:
wallet.manually	Manually enter a wallet-id
wallet.reconnect	Reconnect Wallet (Beacon)
wallet.use-manually	Use entered id
wallet.connect	Connect Wallet (Beacon)
wallet.updated-text	Wallet updated
wallet.same-text	This wallet ID is already being used
